iso3,year,fsi_total
AFG,2011,107.5
AFG,2012,106.0
AFG,2013,106.7
AFG,2014,106.5
AFG,2015,107.9
AFG,2016,107.9
AFG,2017,107.3
AFG,2018,106.62076809859943
AFG,2019,105.0
AFG,2020,102.90118710068992
AFG,2021,102.1
AFG,2022,105.90000000000002
AFG,2023,106.60000000000001
AGO,2011,84.6
AGO,2012,85.1
AGO,2013,87.1
AGO,2014,87.4
AGO,2015,87.9
AGO,2016,90.5
AGO,2017,91.1
AGO,2018,89.44029612068627
AGO,2019,87.8
AGO,2020,87.32003902658735
AGO,2021,89.0
AGO,2022,88.10000000000001
AGO,2023,86.9
ALB,2011,66.1
ALB,2012,66.1
ALB,2013,65.2
ALB,2014,63.6
ALB,2015,61.9
ALB,2016,61.2
ALB,2017,60.5
ALB,2018,60.07930843597633
ALB,2019,58.9
ALB,2020,58.75381081040027
ALB,2021,59.00000000000001
ALB,2022,56.7
ALB,2023,56.8
ARE,2011,50.4
ARE,2012,48.9
ARE,2013,47.3
ARE,2014,47.6
ARE,2015,46.2
ARE,2016,44.5
ARE,2017,43.7
ARE,2018,42.8292445126518
ARE,2019,40.1
ARE,2020,38.099225116036195
ARE,2021,40.29999999999999
ARE,2022,39.1
ARE,2023,37.0
ARG,2011,46.8
ARG,2012,46.5
ARG,2013,46.1
ARG,2014,47.3
ARG,2015,47.6
ARG,2016,48.4
ARG,2017,48.2
ARG,2018,46.06992256962885
ARG,2019,46.0
ARG,2020,46.087950434265025
ARG,2021,50.09999999999999
ARG,2022,47.9
ARG,2023,46.4
ARM,2011,72.3
ARM,2012,72.2
ARM,2013,71.3
ARM,2014,71.3
ARM,2015,69.7
ARM,2016,69.6
ARM,2017,71.0
ARM,2018,69.5452238194412
ARM,2019,66.7
ARM,2020,64.2
ARM,2021,69.8
ARM,2022,67.00000000000001
ARM,2023,67.5
ATG,2011,59.9
ATG,2012,58.9
ATG,2013,58.0
ATG,2014,59.0
ATG,2015,57.8
ATG,2016,56.2
ATG,2017,54.8
ATG,2018,55.6110407346696
ATG,2019,54.4
ATG,2020,52.06235185360498
ATG,2021,54.9
ATG,2022,54.2
ATG,2023,53.8
AUS,2011,28.1
AUS,2012,29.2
AUS,2013,25.4
AUS,2014,26.3
AUS,2015,24.3
AUS,2016,22.5
AUS,2017,22.3
AUS,2018,20.77076600209908
AUS,2019,19.7
AUS,2020,19.746408857575208
AUS,2021,21.799999999999997
AUS,2022,22.7
AUS,2023,22.0
AUT,2011,27.3
AUT,2012,27.5
AUT,2013,26.9
AUT,2014,28.5
AUT,2015,25.8
AUT,2016,27.5
AUT,2017,27.7
AUT,2018,26.181880301496445
AUT,2019,25.0
AUT,2020,24.108703082430992
AUT,2021,26.1
AUT,2022,25.4
AUT,2023,24.399999999999995
AZE,2011,81.9
AZE,2012,79.8
AZE,2013,78.2
AZE,2014,77.8
AZE,2015,77.3
AZE,2016,76.3
AZE,2017,76.3
AZE,2018,74.63031997786744
AZE,2019,73.2
AZE,2020,71.28215920806875
AZE,2021,75.10000000000001
AZE,2022,73.10000000000001
AZE,2023,72.69999999999999
BDI,2011,98.6
BDI,2012,97.5
BDI,2013,97.6
BDI,2014,97.1
BDI,2015,98.0
BDI,2016,100.7
BDI,2017,98.9
BDI,2018,97.36424028418537
BDI,2019,98.2
BDI,2020,97.87602964557674
BDI,2021,97.10000000000001
BDI,2022,95.40000000000002
BDI,2023,94.19999999999999
BEL,2011,34.1
BEL,2012,33.5
BEL,2013,30.9
BEL,2014,32.0
BEL,2015,30.5
BEL,2016,29.0
BEL,2017,30.8
BEL,2018,29.653650451578354
BEL,2019,28.6
BEL,2020,27.098144674784415
BEL,2021,31.000000000000004
BEL,2022,31.9
BEL,2023,31.4
BEN,2011,80.0
BEN,2012,78.6
BEN,2013,77.9
BEN,2014,78.2
BEN,2015,78.8
BEN,2016,78.9
BEN,2017,77.6
BEN,2018,75.69009689938682
BEN,2019,73.6
BEN,2020,72.54479808532312
BEN,2021,72.8
BEN,2022,72.5
BEN,2023,73.30000000000001
BFA,2011,88.6
BFA,2012,87.4
BFA,2013,90.2
BFA,2014,89.0
BFA,2015,89.2
BFA,2016,89.4
BFA,2017,88.0
BFA,2018,86.5236375122382
BFA,2019,83.9
BFA,2020,85.92852306050814
BFA,2021,87.1
BFA,2022,90.5
BFA,2023,94.00000000000001
BGD,2011,94.4
BGD,2012,92.2
BGD,2013,92.5
BGD,2014,92.8
BGD,2015,91.8
BGD,2016,90.7
BGD,2017,89.1
BGD,2018,90.31281723205385
BGD,2019,87.7
BGD,2020,85.69999999999999
BGD,2021,85.0
BGD,2022,84.5
BGD,2023,85.19999999999999
BGR,2011,59.0
BGR,2012,56.3
BGR,2013,55.0
BGR,2014,54.4
BGR,2015,55.4
BGR,2016,53.7
BGR,2017,53.7
BGR,2018,51.65420796469111
BGR,2019,50.6
BGR,2020,49.17165481543572
BGR,2021,51.6
BGR,2022,51.6
BGR,2023,51.800000000000004
BHR,2011,59.0
BHR,2012,62.2
BHR,2013,62.9
BHR,2014,64.7
BHR,2015,64.4
BHR,2016,63.4
BHR,2017,64.9
BHR,2018,64.38675794712286
BHR,2019,63.8
BHR,2020,63.88791153504606
BHR,2021,66.7
BHR,2022,66.60000000000001
BHR,2023,65.1
BHS,2011,56.5
BHS,2012,55.1
BHS,2013,54.7
BHS,2014,54.1
BHS,2015,51.5
BHS,2016,51.6
BHS,2017,52.4
BHS,2018,49.99124184605109
BHS,2019,48.8
BHS,2020,49.86859355975667
BHS,2021,52.400000000000006
BHS,2022,50.6
BHS,2023,49.2
BIH,2011,80.9
BIH,2012,77.9
BIH,2013,76.5
BIH,2014,75.9
BIH,2015,77.4
BIH,2016,74.6
BIH,2017,73.0
BIH,2018,71.33654613766848
BIH,2019,71.3
BIH,2020,70.22040622293711
BIH,2021,72.89999999999999
BIH,2022,73.0
BIH,2023,72.3
BLR,2011,77.6
BLR,2012,76.6
BLR,2013,76.7
BLR,2014,75.0
BLR,2015,75.6
BLR,2016,73.9
BLR,2017,72.4
BLR,2018,70.54071433248335
BLR,2019,68.2
BLR,2020,65.75186010132514
BLR,2021,67.99999999999999
BLR,2022,68.69999999999999
BLR,2023,69.9
BLZ,2011,67.7
BLZ,2012,67.2
BLZ,2013,67.2
BLZ,2014,67.0
BLZ,2015,65.3
BLZ,2016,66.0
BLZ,2017,65.5
BLZ,2018,63.71214888532026
BLZ,2019,62.5
BLZ,2020,60.79466738189765
BLZ,2021,64.2
BLZ,2022,62.099999999999994
BLZ,2023,59.8
BOL,2011,82.9
BOL,2012,82.1
BOL,2013,80.8
BOL,2014,78.9
BOL,2015,78.1
BOL,2016,78.5
BOL,2017,76.8
BOL,2018,75.22337886150169
BOL,2019,72.9
BOL,2020,74.96686955912168
BOL,2021,74.89999999999998
BOL,2022,73.4
BOL,2023,70.7
BRA,2011,65.1
BRA,2012,64.1
BRA,2013,62.1
BRA,2014,61.4
BRA,2015,62.7
BRA,2016,65.3
BRA,2017,68.2
BRA,2018,68.7131308082741
BRA,2019,71.8
BRA,2020,72.99411372588226
BRA,2021,75.79999999999998
BRA,2022,73.9
BRA,2023,74.5
BRB,2011,52.8
BRB,2012,52.0
BRB,2013,50.8
BRB,2014,51.4
BRB,2015,49.3
BRB,2016,49.0
BRB,2017,49.6
BRB,2018,48.18332936752863
BRB,2019,48.0
BRB,2020,46.40725753500914
BRB,2021,46.99999999999999
BRB,2022,45.9
BRB,2023,45.400000000000006
BRN,2011,65.8
BRN,2012,64.1
BRN,2013,63.2
BRN,2014,63.6
BRN,2015,63.0
BRN,2016,62.0
BRN,2017,61.6
BRN,2018,59.80623958429162
BRN,2019,57.5
BRN,2020,56.60002751710281
BRN,2021,56.3
BRN,2022,55.099999999999994
BRN,2023,54.699999999999996
BTN,2011,85.0
BTN,2012,82.4
BTN,2013,81.8
BTN,2014,80.9
BTN,2015,78.7
BTN,2016,77.6
BTN,2017,76.0
BTN,2018,74.27398470769302
BTN,2019,72.0
BTN,2020,69.50902262964706
BTN,2021,68.3
BTN,2022,67.39999999999999
BTN,2023,66.4
BWA,2011,67.9
BWA,2012,66.5
BWA,2013,64.0
BWA,2014,64.5
BWA,2015,62.8
BWA,2016,63.5
BWA,2017,63.8
BWA,2018,61.98745014345976
BWA,2019,59.5
BWA,2020,57.07123296987986
BWA,2021,56.99999999999999
BWA,2022,56.1
BWA,2023,55.29999999999999
CAF,2011,105.0
CAF,2012,103.8
CAF,2013,105.3
CAF,2014,110.6
CAF,2015,111.9
CAF,2016,112.1
CAF,2017,112.6
CAF,2018,111.12634461231347
CAF,2019,108.9
CAF,2020,107.48660467238278
CAF,2021,107.0
CAF,2022,108.10000000000001
CAF,2023,105.70000000000002
CAN,2011,27.7
CAN,2012,26.8
CAN,2013,26.0
CAN,2014,27.4
CAN,2015,25.6
CAN,2016,23.8
CAN,2017,22.6
CAN,2018,21.505583938323312
CAN,2019,20.0
CAN,2020,18.668898507980952
CAN,2021,21.7
CAN,2022,20.099999999999998
CAN,2023,18.9
CHE,2011,23.2
CHE,2012,23.3
CHE,2013,21.5
CHE,2014,23.3
CHE,2015,22.3
CHE,2016,21.8
CHE,2017,21.1
CHE,2018,19.20952631375106
CHE,2019,18.7
CHE,2020,17.094085702623488
CHE,2021,19.900000000000002
CHE,2022,18.900000000000002
CHE,2023,17.799999999999997
CHL,2011,40.7
CHL,2012,43.5
CHL,2013,42.3
CHL,2014,42.0
CHL,2015,41.5
CHL,2016,41.9
CHL,2017,41.1
CHL,2018,40.69103612258534
CHL,2019,38.9
CHL,2020,42.51352691171396
CHL,2021,44.099999999999994
CHL,2022,43.199999999999996
CHL,2023,42.2
CHN,2011,80.1
CHN,2012,78.3
CHN,2013,80.9
CHN,2014,79.0
CHN,2015,76.5
CHN,2016,74.9
CHN,2017,74.7
CHN,2018,72.39504122741063
CHN,2019,71.1
CHN,2020,69.85878789983346
CHN,2021,68.89999999999999
CHN,2022,66.9
CHN,2023,65.1
CIV,2011,102.8
CIV,2012,103.6
CIV,2013,103.5
CIV,2014,101.7
CIV,2015,100.1
CIV,2016,97.9
CIV,2017,96.5
CIV,2018,94.56151916975632
CIV,2019,92.1
CIV,2020,89.72267369142226
CIV,2021,90.69999999999999
CIV,2022,89.60000000000001
CIV,2023,87.10000000000001
CMR,2011,94.6
CMR,2012,93.1
CMR,2013,93.5
CMR,2014,93.1
CMR,2015,94.3
CMR,2016,97.8
CMR,2017,95.6
CMR,2018,95.31218119378651
CMR,2019,97.0
CMR,2020,97.85508160571896
CMR,2021,97.19999999999999
CMR,2022,96.0
CMR,2023,93.99999999999999
COD,2011,108.2
COD,2012,111.2
COD,2013,111.9
COD,2014,110.2
COD,2015,109.7
COD,2016,110.0
COD,2017,110.0
COD,2018,110.67036484651267
COD,2019,110.2
COD,2020,109.39462095485345
COD,2021,108.39999999999999
COD,2022,107.29999999999998
COD,2023,107.19999999999997
COG,2011,91.4
COG,2012,90.1
COG,2013,90.0
COG,2014,89.6
COG,2015,90.8
COG,2016,92.2
COG,2017,93.4
COG,2018,93.12762985550377
COG,2019,92.5
COG,2020,92.06819972980338
COG,2021,92.39999999999999
COG,2022,92.2
COG,2023,90.7
COL,2011,87.0
COL,2012,84.4
COL,2013,83.8
COL,2014,83.1
COL,2015,82.5
COL,2016,80.2
COL,2017,78.9
COL,2018,76.62792958051614
COL,2019,75.7
COL,2020,76.61419215568088
COL,2021,79.3
COL,2022,78.39999999999999
COL,2023,78.1
COM,2011,83.8
COM,2012,83.0
COM,2013,84.0
COM,2014,85.1
COM,2015,83.3
COM,2016,83.8
COM,2017,84.8
COM,2018,82.62279134247851
COM,2019,81.7
COM,2020,81.24901232562686
COM,2021,82.49999999999999
COM,2022,82.3
COM,2023,82.2
CPV,2011,75.8
CPV,2012,74.7
CPV,2013,73.7
CPV,2014,74.1
CPV,2015,73.5
CPV,2016,71.5
CPV,2017,70.1
CPV,2018,68.00000000000001
CPV,2019,66.6
CPV,2020,64.7781708998417
CPV,2021,64.2
CPV,2022,61.4
CPV,2023,60.1
CRI,2011,50.6
CRI,2012,49.7
CRI,2013,48.7
CRI,2014,48.5
CRI,2015,46.8
CRI,2016,45.1
CRI,2017,44.1
CRI,2018,43.236723940075855
CRI,2019,42.0
CRI,2020,40.184017849675776
CRI,2021,42.49999999999999
CRI,2022,41.0
CRI,2023,40.4
CUB,2011,76.6
CUB,2012,73.1
CUB,2013,72.8
CUB,2014,70.8
CUB,2015,67.4
CUB,2016,66.3
CUB,2017,64.6
CUB,2018,62.89031679299263
CUB,2019,60.8
CUB,2020,59.227756982641615
CUB,2021,59.5
CUB,2022,60.10000000000001
CUB,2023,59.49999999999999
CYP,2011,67.6
CYP,2012,66.8
CYP,2013,67.0
CYP,2014,67.9
CYP,2015,66.2
CYP,2016,64.0
CYP,2017,62.6
CYP,2018,60.286306956278125
CYP,2019,57.8
CYP,2020,56.05796495249495
CYP,2021,57.39999999999999
CYP,2022,56.900000000000006
CYP,2023,57.0
CZE,2011,42.4
CZE,2012,39.5
CZE,2013,39.9
CZE,2014,39.4
CZE,2015,37.4
CZE,2016,40.8
CZE,2017,40.1
CZE,2018,39.047601456270876
CZE,2019,37.6
CZE,2020,35.74161611006048
CZE,2021,39.300000000000004
CZE,2022,39.89999999999999
CZE,2023,40.199999999999996
DEU,2011,33.9
DEU,2012,31.7
DEU,2013,29.7
DEU,2014,30.6
DEU,2015,28.1
DEU,2016,28.6
DEU,2017,28.1
DEU,2018,25.83337235566515
DEU,2019,24.7
DEU,2020,23.188488518886743
DEU,2021,24.8
DEU,2022,23.6
DEU,2023,24.6
DJI,2011,82.6
DJI,2012,83.8
DJI,2013,85.5
DJI,2014,87.1
DJI,2015,88.0
DJI,2016,89.7
DJI,2017,88.9
DJI,2018,87.11477754799978
DJI,2019,85.1
DJI,2020,82.72548312161723
DJI,2021,82.39999999999999
DJI,2022,81.3
DJI,2023,82.19999999999999
DNK,2011,23.8
DNK,2012,23.0
DNK,2013,21.9
DNK,2014,22.8
DNK,2015,21.4
DNK,2016,21.5
DNK,2017,21.5
DNK,2018,19.785177227543933
DNK,2019,19.5
DNK,2020,17.213586679528063
DNK,2021,18.8
DNK,2022,18.099999999999998
DNK,2023,17.900000000000002
DOM,2011,76.9
DOM,2012,74.1
DOM,2013,73.2
DOM,2014,73.4
DOM,2015,71.2
DOM,2016,70.8
DOM,2017,69.0
DOM,2018,69.19632518627424
DOM,2019,66.2
DOM,2020,64.35620204936144
DOM,2021,64.7
DOM,2022,62.800000000000004
DOM,2023,60.800000000000004
DZA,2011,78.0
DZA,2012,78.1
DZA,2013,78.7
DZA,2014,78.8
DZA,2015,79.6
DZA,2016,78.3
DZA,2017,76.8
DZA,2018,75.78505154191771
DZA,2019,75.4
DZA,2020,74.57518290066574
DZA,2021,73.6
DZA,2022,72.2
DZA,2023,69.99999999999999
ECU,2011,82.2
ECU,2012,80.1
ECU,2013,78.6
ECU,2014,77.3
ECU,2015,75.9
ECU,2016,75.6
ECU,2017,77.3
ECU,2018,74.23122556430408
ECU,2019,71.2
ECU,2020,69.40303455188986
ECU,2021,71.2
ECU,2022,69.1
ECU,2023,69.39999999999999
EGY,2011,86.8
EGY,2012,90.4
EGY,2013,90.6
EGY,2014,91.0
EGY,2015,89.9
EGY,2016,90.2
EGY,2017,89.8
EGY,2018,88.73736287679192
EGY,2019,88.4
EGY,2020,86.00613825029183
EGY,2021,85.0
EGY,2022,83.60000000000001
EGY,2023,81.6
ERI,2011,93.6
ERI,2012,94.5
ERI,2013,95.0
ERI,2014,95.5
ERI,2015,96.9
ERI,2016,98.6
ERI,2017,98.1
ERI,2018,97.20823903623204
ERI,2019,96.4
ERI,2020,95.8442307280238
ERI,2021,97.00000000000001
ERI,2022,95.90000000000002
ERI,2023,94.49999999999999
ESP,2011,43.1
ESP,2012,42.8
ESP,2013,44.4
ESP,2014,43.1
ESP,2015,40.9
ESP,2016,39.8
ESP,2017,37.9
ESP,2018,41.38298112031969
ESP,2019,40.7
ESP,2020,40.35163335620069
ESP,2021,44.800000000000004
ESP,2022,44.4
ESP,2023,43.49999999999999
EST,2011,49.3
EST,2012,47.5
EST,2013,45.3
EST,2014,45.2
EST,2015,43.7
EST,2016,43.4
EST,2017,44.7
EST,2018,42.990053644081904
EST,2019,40.8
EST,2020,38.52345451018706
EST,2021,39.50000000000001
EST,2022,37.699999999999996
EST,2023,38.6
ETH,2011,98.2
ETH,2012,97.9
ETH,2013,98.9
ETH,2014,97.9
ETH,2015,97.5
ETH,2016,97.2
ETH,2017,101.1
ETH,2018,99.56909778499838
ETH,2019,94.2
ETH,2020,94.59577634557802
ETH,2021,99.00000000000001
ETH,2022,99.30000000000001
ETH,2023,100.39999999999999
FIN,2011,19.7
FIN,2012,20.0
FIN,2013,18.0
FIN,2014,18.7
FIN,2015,17.7
FIN,2016,18.8
FIN,2017,18.7
FIN,2018,17.934251926521828
FIN,2019,16.9
FIN,2020,14.626666190916625
FIN,2021,16.2
FIN,2022,15.100000000000003
FIN,2023,16.0
FJI,2011,81.1
FJI,2012,80.5
FJI,2013,80.8
FJI,2014,79.0
FJI,2015,76.7
FJI,2016,76.2
FJI,2017,76.9
FJI,2018,74.51822129476686
FJI,2019,71.7
FJI,2020,69.85212211648623
FJI,2021,70.4
FJI,2022,68.9
FJI,2023,70.19999999999999
FRA,2011,34.0
FRA,2012,33.6
FRA,2013,32.6
FRA,2014,34.8
FRA,2015,33.7
FRA,2016,34.5
FRA,2017,33.5
FRA,2018,32.22701109659329
FRA,2019,32.0
FRA,2020,30.481111070323838
FRA,2021,32.5
FRA,2022,30.900000000000002
FRA,2023,28.799999999999997
FSM,2011,71.9
FSM,2012,71.9
FSM,2013,72.9
FSM,2014,74.6
FSM,2015,73.5
FSM,2016,77.1
FSM,2017,76.4
FSM,2018,74.4370879237946
FSM,2019,73.0
FSM,2020,71.23563007855653
FSM,2021,71.7
FSM,2022,71.0
FSM,2023,69.30000000000001
GAB,2011,75.3
GAB,2012,74.6
GAB,2013,72.9
GAB,2014,72.2
GAB,2015,71.2
GAB,2016,72.0
GAB,2017,73.8
GAB,2018,72.47628284232633
GAB,2019,70.5
